Feature,Importance
NACCAGEB,0.10428404940246984
NACCLIVS,0.0886905128450735
DEP2YRS,0.08472625127569867
EDUC,0.07410623889267823
NACCBMI,0.07073666584276836
WEIGHT,0.06919853782963917
NACCAGE,0.06702776416586469
HEIGHT,0.06682145530544033
BPSYS,0.054009737685216816
BPDIAS,0.047960534099798745
SEX,0.03468561511605806
SMOKYRS,0.032728560005636814
MARISTAT,0.026876691106861045
RACE,0.017870328707373116
NACCMOM,0.014979467583159503
HYPERCHO,0.014151809996829278
HYPERTEN,0.01386498611780296
NACCFAM,0.012073504758305856
HANDED,0.010204416574276905
CBSTROKE,0.009999559657198146
NACCDAD,0.0096615970271413
TOBAC100,0.008669924179131101
HEARING,0.008534689707151459
HEARAID,0.008060654469950228
DIABETES,0.007965201013056533
HISPANIC,0.007208015958875111
NACCTBI,0.006680404301531501
ALCOHOL,0.006549052778425855
CVAFIB,0.006369110944165615
CBTIA,0.005372152112135017
CVHATT,0.004749233559887436
CVCHF,0.002781924240141925
APNEA,0.00240135274025688
